PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
1949,biographical-item,23,23,0
1925,letter,8,8,0
1917,letter,17,17,0
2017,"fiction, creative prose",506,472,34
1960,biographical-item,2,2,0
1982,film review,1365,1365,0
1975,theater review,15,15,0
1979,poetry,72,72,0
1975,music performance review,11,11,0
1988,"tv review, radio review",3,3,0
1992,art exhibit review,2749,2749,0
1981,music performance review,1682,1682,0
1993,record review,1930,1930,0
1997,software review,1042,1042,0
2008,poetry,5963,5889,74
1953,correction,69,69,0
1997,bibliography,718,716,2
1947,biographical-item,23,23,0
1904,letter,9,9,0
1905,letter,20,20,0
2009,software review,104,56,48
1910,letter,24,24,0
2008,record review,1955,1950,5
1990,bibliography,569,569,0
2008,film review,2246,2238,8
2002,"tv review, radio review",835,835,0
2014,music performance review,972,952,20
1990,script,69,69,0
1990,music score,13,13,0
2008,music score review,203,194,9
2008,excerpt,55,53,2
2005,film review,2254,2253,1
1996,music score,19,19,0
1996,"fiction, creative prose",1701,1700,1
2011,"tv review, radio review",617,616,1
2017,music score,5,3,2
2008,retraction,1,0,1
1988,software review,1033,1032,1
2001,record review,2159,2159,0
2004,film review,1196,1196,0
1985,film review,1499,1499,0
1982,art exhibit review,2690,2690,0
1995,excerpt,202,202,0
1980,record review,1466,1466,0
1988,"fiction, creative prose",1547,1547,0
1984,"fiction, creative prose",1702,1702,0
2019,poetry,1034,989,45
2019,"fiction, creative prose",122,109,13
2012,dance performance review,447,447,0
1955,correction,5,5,0
1945,biographical-item,9,9,0
1986,reprint,1,1,0
2015,main cite,7,6,1
1991,item about an individual,4308,4308,0
1980,"correction, addition",3789,3789,0
1986,item about an individual,3980,3980,0
1984,item about an individual,2054,2054,0
1991,"correction, addition",5224,5224,0
2006,book,65,30,35
1940,correction,1,1,0
2010,music score review,66,65,1
2012,data paper,9,0,9
2014,data paper,20,0,20
1989,chronology,45,45,0
1988,chronology,48,48,0
1993,"correction, addition",5720,5720,0
1993,dance performance review,593,593,0
1993,hardware review,74,74,0
2004,dance performance review,360,360,0
1994,dance performance review,499,499,0
1994,music performance review,1672,1672,0
1995,dance performance review,658,658,0
1995,music score,21,21,0
2009,chronology,3,0,3
2012,abstract of published item,1,0,1
2007,retraction,1,1,0
2001,music performance review,1656,1656,0
1988,dance performance review,618,618,0
1989,item about an individual,3736,3736,0
2008,meeting summary,1,1,0
1980,dance performance review,594,594,0
1980,theater review,1584,1584,0
1980,excerpt,190,190,0
1998,music score,54,54,0
1981,record review,1386,1386,0
1982,music score,26,26,0
1983,item about an individual,1981,1981,0
1999,music score,18,18,0
1987,dance performance review,501,501,0
2012,hardware review,1,1,0
2006,abstract of published item,1,0,1
2019,music performance review,269,261,8
2019,software review,6,0,6
1898,article,7,7,0
2001,article,796963,756004,40959
2015,letter,44356,11802,32554
1972,article,72240,71926,314
1973,article,75649,75367,282
1983,review,15209,15173,36
2016,record review,1463,1444,19
2013,editorial material,99807,33314,66493
1972,note,7142,7042,100
1974,book review,535,503,32
2009,bibliography,260,192,68
2004,article,885499,366634,518865
2014,editorial material,102836,33733,69103
1990,note,50564,50464,100
2014,book review,69201,41733,27468
2012,biographical-item,4317,1991,2326
2016,proceedings paper,378044,234941,143103
2016,poetry,4868,4606,262
2009,news item,22787,18885,3902
1984,note,53834,53699,135
1993,editorial material,35756,35620,136
2003,proceedings paper,159614,157090,2524
2011,meeting abstract,263118,237371,25747
1989,article,564755,563497,1258
1988,note,50044,49934,110
1977,letter,942,718,224
2016,"tv review, radio review",408,405,3
2009,letter,43029,18371,24658
2002,proceedings paper,137742,137633,109
2006,proceedings paper,198485,175453,23032
1993,meeting abstract,83156,83156,0
1984,review,14667,14640,27
2000,proceedings paper,141921,141864,57
1982,correction,583,574,9
1985,note,51569,51423,146
1997,review,26088,26051,37
1969,article,46806,46511,295
2016,art exhibit review,2022,1968,54
2016,reprint,276,37,239
1994,meeting abstract,80476,80475,1
2012,meeting abstract,283876,261063,22813
1972,book review,284,276,8
1971,book review,479,461,18
1993,correction,269,258,11
2004,correction,8533,4387,4146
1966,book review,761,569,192
2015,hardware review,8,1,7
1997,letter,46006,45631,375
1960,letter,296,295,1
1996,review,23785,23744,41
2000,correction,6779,6734,45
2004,editorial material,63706,42483,21223
2014,reprint,188,61,127
1997,correction,1060,1038,22
1991,meeting abstract,50700,50700,0
1990,software review,900,899,1
1990,correction,467,445,22
1980,letter,31508,31323,185
1979,letter,1004,783,221
2012,poetry,5466,5255,211
1988,letter,39302,39036,266
1995,meeting abstract,100731,100731,0
1965,note,2926,2925,1
1971,note,6496,6437,59
1969,review,840,833,7
1971,correction,292,287,5
1977,review,1418,1399,19
1964,review,471,463,8
2015,theater review,377,375,2
1969,editorial material,1174,1142,32
1968,meeting abstract,6062,5872,190
1961,meeting abstract,512,511,1
1959,note,255,250,5
1966,meeting abstract,3426,3325,101
1968,review,606,600,6
1966,biographical-item,173,172,1
1973,discussion,116,107,9
1964,note,659,654,5
1994,news item,1,0,1
1989,meeting abstract,42849,42849,0
2018,biographical-item,3774,1295,2479
2002,book review,76818,75172,1646
1941,article,1678,1522,156
1953,article,4920,4741,179
2019,review,35137,603,34534
1960,review,308,299,9
2019,article,505279,12080,493199
1998,reprint,799,799,0
2018,bibliography,87,48,39
2018,dance performance review,428,421,7
2018,music score review,30,18,12
2018,database review,12,1,11
1920,article,529,529,0
1969,abstract of published item,9,9,0
1962,discussion,15,11,4
1982,discussion,2446,2438,8
1959,review,296,289,7
1985,discussion,2469,2443,26
1953,note,195,195,0
1934,article,1550,1432,118
2008,news item,24755,22173,2582
1993,biographical-item,184,182,2
2009,biographical-item,6810,4079,2731
1912,article,451,451,0
1992,biographical-item,134,134,0
1951,editorial material,885,862,23
1957,review,294,293,1
1950,letter,403,403,0
1953,meeting abstract,235,235,0
1952,note,158,158,0
1951,meeting abstract,502,502,0
1957,meeting abstract,121,121,0
1958,meeting abstract,61,61,0
1945,discussion,9,9,0
1983,biographical-item,70,70,0
1953,letter,464,464,0
1997,book review,89300,89291,9
1945,review,102,100,2
1957,discussion,25,21,4
1945,note,119,119,0
1960,book review,16,16,0
1956,meeting abstract,34,34,0
1999,biographical-item,6175,6172,3
1970,abstract of published item,31,31,0
1981,correction,335,324,11
2017,art exhibit review,2128,2049,79
2018,script,8,8,0
1947,letter,281,281,0
2019,proceedings paper,9414,2879,6535
1948,correction,42,42,0
1927,article,1023,974,49
1941,letter,40,40,0
1931,review,66,66,0
1927,letter,11,11,0
1910,article,461,461,0
1952,book review,373,373,0
1938,letter,12,12,0
1930,letter,18,18,0
1932,letter,8,8,0
2018,hardware review,2,0,2
2002,correction,7058,5494,1564
1989,correction,526,509,17
1981,poetry,8621,8621,0
1986,poetry,8821,8821,0
1963,book review,40,40,0
1958,book review,131,131,0
1985,poetry,8066,8066,0
1989,music performance review,2010,2010,0
1995,record review,2279,2279,0
1982,poetry,8272,8272,0
1963,correction,49,49,0
1987,music performance review,2056,2056,0
1980,music performance review,1660,1660,0
1975,record review,2,2,0
1956,book review,14,14,0
1988,record review,1054,1054,0
1992,music performance review,1642,1642,0
1992,"tv review, radio review",1,1,0
1915,letter,242,242,0
1990,music performance review,1912,1912,0
2013,"tv review, radio review",404,400,4
1954,correction,30,30,0
1983,record review,1569,1569,0
1984,film review,1562,1562,0
1981,dance performance review,575,575,0
2014,software review,35,1,34
1963,biographical-item,409,409,0
1999,poetry,6283,6283,0
1913,book review,13,13,0
1929,book review,492,492,0
1909,letter,42,42,0
1913,letter,30,30,0
1901,letter,22,22,0
1927,book review,3,3,0
2000,"fiction, creative prose",1132,1132,0
1990,art exhibit review,2909,2909,0
2002,music performance review,1732,1732,0
2002,theater review,631,631,0
1996,item about an individual,6018,6018,0
1996,dance performance review,1076,1076,0
1997,script,60,60,0
2006,poetry,4974,4959,15
2007,poetry,5347,5345,2
2010,hardware review,11,8,3
2017,script,7,6,1
2012,"tv review, radio review",437,434,3
2009,script,30,28,2
2007,theater review,496,492,4
1939,letter,12,12,0
2006,theater review,540,538,2
2013,film review,1340,1329,11
1987,excerpt,206,206,0
1991,music score review,416,416,0
1971,abstract of published item,74,74,0
